,Sell 0 trading days after announcement,Sell 1 trading days after announcement,Sell 2 trading days after announcement,Sell 3 trading days after announcement,Sell 4 trading days after announcement,Sell 5 trading days after announcement,Sell 6 trading days after announcement,Sell 7 trading days after announcement,Sell 8 trading days after announcement,Sell 9 trading days after announcement,Sell 10 trading days after announcement
Buy 1 trading days before announcement,0.006051630434782604,0.007065217391304348,0.0078179347826087,0.011198369565217388,0.012907608695652169,0.009823369565217404,0.007652173913043478,0.01462125340599455,0.01326702997275205,0.016205797101449294,0.0180472440944882
Buy 10 trading days before announcement,0.03309907120743033,0.033804953560371505,0.03333126934984523,0.034984520123839,0.03606191950464397,0.032476780185758496,0.029455108359133137,0.04013931888544893,0.038046439628482955,0.04068770764119602,0.04517872340425531
Buy 2 trading days before announcement,0.01172826086956521,0.012714673913043465,0.013423913043478264,0.016801630434782583,0.01859239130434783,0.015516304347826084,0.01324184782608696,0.020384196185286092,0.01911171662125339,0.022034782608695628,0.02583070866141735
Buy 3 trading days before announcement,0.01003532608695652,0.011081521739130438,0.011752717391304346,0.015035326086956525,0.01681250000000001,0.013750000000000014,0.011453804347826084,0.018686648501362403,0.017441416893732978,0.02066666666666667,0.0247795275590551
Buy 4 trading days before announcement,0.015763586956521743,0.016858695652173915,0.017633152173913032,0.020855978260869556,0.022649456521739112,0.019491847826086955,0.017146739130434793,0.024329700272479556,0.02314986376021798,0.0275768115942029,0.028326771653543324
Buy 5 trading days before announcement,0.02302989130434784,0.024019021739130435,0.0247907608695652,0.028048913043478275,0.0298532608695652,0.02660597826086955,0.024277173913043463,0.03150681198910081,0.030253405994550404,0.035866666666666665,0.03316141732283461
Buy 6 trading days before announcement,0.030204359673024535,0.03132970027247957,0.03216076294277927,0.03513896457765666,0.036801089918256084,0.03354223433242509,0.031092643051771146,0.03892643051771117,0.037653950953678454,0.04404637681159423,0.04444881889763783
Buy 7 trading days before announcement,0.037465940054495925,0.0386267029972752,0.03930517711171664,0.042258855585831076,0.04388555858310629,0.04075749318801089,0.03834059945504089,0.04634332425068124,0.045079019073569496,0.050773913043478246,0.05327559055118108
Buy 8 trading days before announcement,0.03167302452316077,0.03282833787465939,0.03350136239782015,0.03644686648501364,0.038040871934604946,0.03497275204359673,0.032662125340599445,0.04050953678474112,0.03935967302452316,0.04374202898550723,0.04495669291338585
Buy 9 trading days before announcement,0.031125340599455043,0.0322452316076294,0.0327956403269755,0.03583923705722068,0.037425068119891006,0.03439509536784739,0.0321008174386921,0.0401008174386921,0.038896457765667566,0.04217101449275361,0.04667322834645669
